Date,half,Team,Opponent,timeRemaining,playerID,makeMiss,xint,yint,distance,x,y
1/9/2016,3,Penn,Princeton,240,3,0,3,0,3,3.479098433,0.196531876
1/9/2016,3,Penn,Princeton,221,1,0,7,5,8.6,7.403192753,5.010188837
1/9/2016,3,Penn,Princeton,141,10,0,-3,2,3.6,-3.084256504,1.682293268
1/9/2016,3,Penn,Princeton,108,24,0,-9,20,21.9,-8.603771262,20.37674679
1/9/2016,3,Penn,Princeton,47,1,0,2,5,5.4,1.842379736,5.362379721
1/9/2016,3,Penn,Princeton,0,3,0,6,2,6.3,5.58941899,1.5469696
1/9/2016,1,Princeton,Penn,1902,31,0,-6,2,6.3,-5.530025488,1.680284514
1/9/2016,1,Princeton,Penn,1839,10,0,-2,1,2.2,-2.101104199,1.086083076
1/9/2016,1,Princeton,Penn,1832,25,1,-2,1,2.2,-2.197046588,1.230001634
1/9/2016,1,Princeton,Penn,1750,5,0,-8,18,19.7,-7.890427304,17.85094126
1/9/2016,1,Princeton,Penn,1655,10,1,-2,0,2,-2.224438403,0.357879111
1/9/2016,1,Princeton,Penn,1614,5,1,9,20,21.9,9.405036932,19.6900098
1/9/2016,1,Princeton,Penn,1535,5,0,0,4,4,-0.252165275,3.733591631
1/9/2016,1,Princeton,Penn,1510,3,0,-3,1,3.2,-2.542250137,0.91845144
1/9/2016,1,Princeton,Penn,1508,35,0,-1,0,1,-1.334669197,0.083335966
1/9/2016,1,Princeton,Penn,1355,5,1,12,18,21.6,11.98230891,17.7265526
1/9/2016,1,Princeton,Penn,1312,21,0,8,0,8,7.807210586,-0.378186739
1/9/2016,1,Princeton,Penn,1248,10,0,-11,20,22.8,-10.68864689,19.67849496
1/9/2016,1,Princeton,Penn,1242,3,0,-2,1,2.2,-2.348838114,0.542764283
1/9/2016,1,Princeton,Penn,1200,31,1,2,3,3.6,1.604440536,3.223252626
1/9/2016,1,Princeton,Penn,1114,5,1,15,16,21.9,15.20665778,16.25570734
1/9/2016,1,Princeton,Penn,1040,25,0,18,12,21.6,17.59693295,12.368534
1/9/2016,1,Princeton,Penn,1010,10,0,4,1,4.1,4.27842245,1.17891969
1/9/2016,1,Princeton,Penn,945,21,1,-6,2,6.3,-6.135446055,2.011577144
1/9/2016,1,Princeton,Penn,906,5,1,-5,2,5.4,-4.683887989,1.693492839
1/9/2016,1,Princeton,Penn,705,21,1,-2,3,3.6,-2.377710626,2.811020438
1/9/2016,1,Princeton,Penn,622,3,1,22,4,22.4,22.17920935,4.093414803
1/9/2016,1,Princeton,Penn,548,5,1,-2,1,2.2,-1.666357648,1.166909372
1/9/2016,1,Princeton,Penn,512,21,0,9,20,21.9,9.233474497,20.10029598
1/9/2016,1,Princeton,Penn,500,10,0,-2,1,2.2,-1.634561001,1.334541928
1/9/2016,1,Princeton,Penn,456,21,0,-1,1,1.4,-1.428823057,0.814044791
1/9/2016,1,Princeton,Penn,415,3,1,3,0,3,3.084080861,-0.490533499
1/9/2016,1,Princeton,Penn,349,31,1,3,0,3,2.691423338,0.025860737
1/9/2016,1,Princeton,Penn,247,21,0,3,0,3,2.791889423,-0.120132612
1/9/2016,1,Princeton,Penn,232,25,0,-5,2,5.4,-5.251055345,1.671297849
1/9/2016,1,Princeton,Penn,201,5,2,-4,3,5,-4.41631491,3.424234043
1/9/2016,1,Princeton,Penn,119,35,0,-6,16,17.1,-6.279715649,16.32149513
1/9/2016,1,Princeton,Penn,103,10,2,-5,2,5.4,-4.97952832,1.503802157
1/9/2016,1,Princeton,Penn,9,5,1,-4,12,12.6,-3.636637612,11.90683601
1/9/2016,2,Princeton,Penn,1942,5,0,-15,16,21.9,-15.10739436,16.01043169
1/9/2016,2,Princeton,Penn,1938,25,0,2,4,4.5,1.743495637,4.094115647
1/9/2016,2,Princeton,Penn,1901,21,1,-2,0,2,-1.91130275,0.091899201
1/9/2016,2,Princeton,Penn,1820,31,0,-4,0,4,-3.776659458,0.297996608
1/9/2016,2,Princeton,Penn,1745,21,0,-4,12,12.6,-3.602071344,12.28125425
1/9/2016,2,Princeton,Penn,1730,21,0,2,4,4.5,1.583401846,3.624565114
1/9/2016,2,Princeton,Penn,1707,5,1,-8,8,11.3,-7.820934781,7.867765852
1/9/2016,2,Princeton,Penn,1610,10,0,6,5,7.8,5.579472275,4.547295551
1/9/2016,2,Princeton,Penn,1545,21,0,2,1,2.2,2.461761972,0.869900695
1/9/2016,2,Princeton,Penn,1507,10,1,-4,0,4,-4.337682787,-0.462007233
1/9/2016,2,Princeton,Penn,1500,25,2,-2,1,2.2,-1.535461659,0.808930616
1/9/2016,2,Princeton,Penn,1436,31,0,-2,0,2,-1.724090256,-0.167075721
1/9/2016,2,Princeton,Penn,1408,3,0,17,18,24.8,16.96520845,18.38158994
1/9/2016,2,Princeton,Penn,1326,5,1,-4,3,5,-4.375749479,2.606483131
1/9/2016,2,Princeton,Penn,1248,31,1,1,4,4.1,0.941868047,3.560348145
1/9/2016,2,Princeton,Penn,1200,31,1,3,6,6.7,3.27396611,5.575223165
1/9/2016,2,Princeton,Penn,1042,10,0,16,16,22.6,16.41548167,16.31286555
1/9/2016,2,Princeton,Penn,1003,35,2,-4,2,4.5,-4.331370645,2.387390894
1/9/2016,2,Princeton,Penn,908,10,0,0,6,6,0.220216413,5.899835779
1/9/2016,2,Princeton,Penn,826,21,2,-1,4,4.1,-1.464787704,3.946536273
1/9/2016,2,Princeton,Penn,733,3,0,22,5,22.6,21.78293065,5.422903746
1/9/2016,2,Princeton,Penn,604,10,0,-3,1,3.2,-3.349367388,1.39548177
1/9/2016,2,Princeton,Penn,524,21,2,-3,4,5,-2.675563925,4.488753664
1/9/2016,2,Princeton,Penn,432,5,2,-2,1,2.2,-2.035449598,0.592795432
1/9/2016,2,Princeton,Penn,402,5,0,4,2,4.5,3.974841441,2.270549767
1/9/2016,2,Princeton,Penn,350,3,0,3,1,3.2,2.972982538,1.34478988
1/9/2016,2,Princeton,Penn,324,5,2,3,2,3.6,3.02229771,1.8955898
